Pays,Population,Pays,densite 1970,densite 2000,Pays,taux de fecondite,Pays,hommes 100 femmes,Nb de nouveau-nés,Pays, Taux de fécondité /CIA Factbook 2016,Taux de fécondité/ONU 2010–2015,Taux de natalité (‰ hab)/CIA Factbook 2016,Taux de natalité (‰ hab)/ONU 2010–2015,Pays,taux deurbanisation,pays,espérance de vie des deux sexes,pays,taux de croissance demographique,pays,Taux de mortalité ‰ hab/(ONU 2010–2015),0,Pays,"Taux de mortalité infantile/‰ naissances (2010–2015, ONU",Taucde mortalitePourcentage,"Taux de mortalité infantile/‰ naissances (2016, Banque mondiale)", Banque mondiale en poucentage,Pays,Tranches âge 0 a 14ans,Tranches âge 15 a 64 ans,Tranches âge plus de 65 ans,pays ,Age médian Hommes
 Chine[a],1 444 216 000, Afghanistan,"11,9","13,8", Niger,6.91, Qatar,"306,6","104,5", Niger,"6,62","7,40","44,8","49,2", Bermudes,100 %, Japon,"82,4", Liberia,"4,55", Lesotho,"14,9","13,6", Luxembourg,"1,58","0,2 %","2,40","0,2 %", Afghanistan,"43,3 %","54,2 %","2,5 %", Afghanistan,"18,5"
 Inde,1 393 409 000,"17,0","20,3","18,8", Angola,5.90, Émirats arabes unis,"272,2","104,5", Burundi,"6,04","6,00","41,7","43,3", Îles Caïmans,100 %, Suisse,"80,3", Burundi,"3,90", Bulgarie,"14,5","15,0", Singapour,"1,77","0,2 %","2,80","0,3 %", Albanie,"18,4 %","68,9 %","12,7 %", Afrique du Sud,"26,5"
 États-Unis[b],332 915 000,"30,8","44,1","55,7", République démocratique du Congo,5.70, Oman,"184,4","105,0", Mali,"5,95","6,35","44,4","44,7", Gibraltar,100 %, Singapour,"80,0", Afghanistan,"3,85", Lituanie,"14,5","13,5", Islande,"2,03","0,2 %","2,10","0,2 %", Angola,"47,6 %","50,1 %","2,3 %", Albanie,"31,2"
 Indonésie,276 362 000, Afrique du Sud,"11,2","14,4", Mali,5.63, Bahreïn,"161,3","103,7", Somalie,"5,89","6,61","40,0","44,4", Hong Kong,100 %, Australie,"80,9", République arabe sahraouie démocratique,"3,72", Ukraine,"14,4","14,9", Japon,"2,20","0,2 %","2,70","0,3 %", Argentine,"25,0 %","63,9 %","11,1 %", Algérie,"27,5"
 Pakistan,225 200 000,"18,8","24,5","31,0", Chad,5.57, Koweït,"135,0","104,5", Ouganda,"5,80","5,91","43,4","43,9", Macao,100 %, Espagne,"80,1", Timor oriental,"3,50", Lettonie,"14,4","14,3", Finlande,"2,26","0,2 %","2,30","0,2 %", Azerbaïdjan,"22,5 %","71,7 %","5,8 %", Allemagne,"45,7"
 Brésil,213 993 000,"37,7","42,5","47,3", Benin,5.47, Arabie saoudite,"130,9","103,0", Burkina Faso,"5,79","5,65","41,6","40,8", Monaco,100 %, Islande,"81,2", Niger,"3,49", Guinée-Bissau,"14,1","11,4", Italie,"2,30","0,2 %","3,30","0,3 %", Australie,"18,8 %","65,9 %","15,3 %", Andorre,"43,8"
 Nigeria,211 401 000, Albanie,"46,1","59,7", Uganda,5.45, Maldives,"130,2","107,4", Zambie,"5,67","5,20","41,8","39,3", Singapour,100 %, Italie,"80,5", Érythrée,"3,24", Tchad,"14,0","14,0", Tchéquie,"2,46","0,2 %","3,20","0,3 %", Bahreïn,"21,3 %","76,2 %","2,5 %", Angola,"18,0"
 Bangladesh,166 303 000,"78,5","97,9","119,8", South Sudan,5.43, Guinée équatoriale,"123,0","103,0", Malawi,"5,54","4,88","41,3","38,1", Qatar,"99,3 %", Israel,"80,6", Ouganda,"3,24", Afghanistan,"13,7","07,5", Norvège,"2,50","0,3 %","2,60","0,3 %", Barbade,"19,2 %","66,2 %","14,6 %", Anguilla (Royaume-Uni),"32,7"
 Russie,145 912 000,"113,9","107,3","107,1", Somalia,5.41, Bhoutan,"113,4","104,0", Angola,"5,31","5,95","38,6","43,7", Koweït,"98,4 %", Suède,"80,7", République démocratique du Congo,"3,22", Serbie,"13,6","12,4", Suède,"2,80","0,3 %","2,90","0,3 %", Belize,"32,0 %","64,2 %","3,8 %", Antigua-et-Barbuda,"29,4"
 Mexique,130 262 000, Algérie,"3,7","4,7", Burundi,5.10,Sahara occidental,"110,5","103,0", Afghanistan,"5,22","5,26","38,3","36,2", Belgique,"97,9 %", France,"79,4", Palestine,"3,18", Russie,"12,4","13,4", Grèce,"2,84","0,3 %","3,80","0,4 %", Bhoutan,"26,3 %","68,5 %","5,2 %", Arabie saoudite,"27,9"
 Japon,126 051 000,"6,1","8,1","10,9", Mozambique,4.89, Inde,"107,6","110,7", Soudan du Sud,"5,19","5,15","36,2","37,3", Malte,"95,5 %", Corée du Sud,"78,8", Jordanie,"3,04", République centrafricaine,"13,5","15,3", Slovénie,"2,87","0,3 %","2,30","0,2 %", Bosnie-Herzégovine,"13,3 %","70,7 %","16,0 %", Argentine,"30,3"
